-77.026	38.982
-77.026	38.98
-77.019	38.975
-77.027	38.968
-77.027	38.968
-77.028	38.967
-77.028	38.967
-77.002	38.965
-77.074	38.964
-77.028	38.961
-77.016	38.957
-77.01	38.956
-77.001	38.956
-77.071	38.955
-77.069	38.955
-77.07	38.954
-77.083	38.954
-77.027	38.951
-76.992	38.95
-77.096	38.946
-77.032	38.945
-77.078	38.944
-77.026	38.941
-77.026	38.94
-77.059	38.937
-76.993	38.936
-77.033	38.935
-76.991	38.935
-76.964	38.934
-77.024	38.933
-76.98	38.933
-76.959	38.93
-76.978	38.929
-77.026	38.927
-76.991	38.926
-77.033	38.924
-77.073	38.922
-76.961	38.922
-76.96	38.921
-77	38.92
-76.971	38.92
-76.95	38.92
-77.024	38.918
-76.971	38.918
-76.973	38.918
-76.993	38.918
-76.972	38.917
-76.979	38.917
-76.993	38.917
-77.034	38.917
-76.981	38.917
-77.096	38.916
-76.989	38.915
-77.042	38.914
-77.016	38.914
-76.989	38.914
-77.017	38.914
-77.018	38.913
-77.011	38.911
-77.065	38.911
-76.935	38.911
-77.065	38.911
-76.985	38.91
-77.007	38.91
-76.937	38.908
-77.024	38.908
-76.978	38.908
-77.029	38.907
-76.999	38.907
-76.979	38.906
-77.048	38.905
-76.942	38.902
-76.983	38.901
-76.985	38.901
-76.943	38.901
-76.94	38.901
-77.056	38.9
-77.057	38.9
-76.985	38.9
-76.974	38.899
-76.925	38.898
-76.97	38.897
-76.959	38.896
-77.003	38.895
-76.951	38.893
-76.951	38.893
-76.939	38.892
-76.953	38.891
-76.938	38.89
-76.938	38.889
-77.001	38.886
-76.994	38.883
-76.989	38.882
-76.99	38.882
-76.931	38.878
-76.972	38.875
-76.973	38.874
-76.97	38.874
-76.971	38.873
-77.015	38.871
-76.944	38.87
-76.96	38.869
-76.95	38.866
-76.969	38.86
-76.968	38.86
-76.997	38.846
-76.998	38.844
-77.016	38.841
-77.001	38.822
-77.002	38.821
-77.049	38.909
-77.022	38.877
